from,to,weight
Reference,0-10,15185
Reference,10-100,2234
Reference,1K-10K,251
Reference,100-1K,857
Reference,>10K,88
0-10,0 stars,8590
0-10,4 stars,1286
0-10,3 stars,793
0-10,5 stars,3397
0-10,1 stars,637
0-10,2 stars,482
10-100,0 stars,0
10-100,4 stars,868
10-100,3 stars,309
10-100,5 stars,897
10-100,1 stars,42
10-100,2 stars,118
1K-10K,0 stars,0
1K-10K,4 stars,54
1K-10K,3 stars,3
1K-10K,5 stars,194
1K-10K,1 stars,0
1K-10K,2 stars,0
100-1K,0 stars,0
100-1K,4 stars,231
100-1K,3 stars,43
100-1K,5 stars,558
100-1K,1 stars,3
100-1K,2 stars,22
>10K,0 stars,0
>10K,4 stars,9
>10K,3 stars,0
>10K,5 stars,79
>10K,1 stars,0
>10K,2 stars,0
0 stars,4+,7147
0 stars,17+,874
0 stars,12+,433
0 stars,9+,136
4 stars,4+,2045
4 stars,17+,145
4 stars,12+,165
4 stars,9+,93
3 stars,4+,908
3 stars,17+,113
3 stars,12+,93
3 stars,9+,34
5 stars,4+,4227
5 stars,17+,448
5 stars,12+,298
5 stars,9+,152
1 stars,4+,570
1 stars,17+,75
1 stars,12+,23
1 stars,9+,14
2 stars,4+,508
2 stars,17+,55
2 stars,12+,41
2 stars,9+,18
4+,Free,12460
4+,Paid,2945
17+,Free,1582
17+,Paid,128
12+,Free,863
12+,Paid,190
9+,Free,346
9+,Paid,101
