from,to,weight
Sports,0-10,27237
Sports,10-100,2982
Sports,100-1K,850
Sports,1K-10K,269
Sports,>10K,116
0-10,0 stars,18111
0-10,2 stars,598
0-10,5 stars,4866
0-10,3 stars,1006
0-10,4 stars,1868
0-10,1 stars,788
10-100,0 stars,0
10-100,2 stars,235
10-100,5 stars,1292
10-100,3 stars,436
10-100,4 stars,990
10-100,1 stars,29
100-1K,0 stars,0
100-1K,2 stars,42
100-1K,5 stars,509
100-1K,3 stars,56
100-1K,4 stars,239
100-1K,1 stars,4
1K-10K,0 stars,0
1K-10K,2 stars,4
1K-10K,5 stars,232
1K-10K,3 stars,2
1K-10K,4 stars,31
1K-10K,1 stars,0
>10K,0 stars,0
>10K,2 stars,0
>10K,5 stars,105
>10K,3 stars,0
>10K,4 stars,11
>10K,1 stars,0
0 stars,4+,14969
0 stars,17+,2248
0 stars,12+,763
0 stars,9+,131
2 stars,4+,732
2 stars,17+,99
2 stars,12+,42
2 stars,9+,6
5 stars,4+,5392
5 stars,17+,911
5 stars,12+,613
5 stars,9+,88
3 stars,4+,1219
3 stars,17+,171
3 stars,12+,88
3 stars,9+,22
4 stars,4+,2471
4 stars,17+,392
4 stars,12+,248
4 stars,9+,28
1 stars,4+,688
1 stars,17+,92
1 stars,12+,32
1 stars,9+,9
4+,Free,23326
4+,Paid,2145
17+,Free,3780
17+,Paid,133
12+,Free,1679
12+,Paid,107
9+,Free,258
9+,Paid,26
