App_Name,Content_Rating,Released,Free,Maximum_Installs
Dragon City Mobile,Everyone,"Jul 3, 2013",True,165592452
SimCity BuildIt,Everyone 10+,"Dec 15, 2014",True,106874506
Idle Miner Tycoon: Mine & Money Clicker Management,Everyone,"Jun 30, 2016",True,98455942
Dragon Mania Legends,Everyone,"Jan 7, 2015",True,87292468
The Sims™ Mobile,Teen,"Mar 6, 2018",True,69364620
Design Home: House Renovation,Everyone,"Nov 16, 2016",True,56975412
Choices: Stories You Play,Teen,"Aug 17, 2016",True,46666691
Animal Crossing: Pocket Camp,Everyone,"Nov 20, 2017",True,28208746
"Cash, Inc. Money Clicker Game & Business Adventure",Teen,"Oct 26, 2017",True,28128764
Wild Hunt:Sport Hunting Games. Hunter & Shooter 3D,Teen,"Jul 19, 2017",True,27256899
