App_Name,Content_Rating,Released,Free,Maximum_Installs
Garena Free Fire - Rampage,Mature 17+,"Dec 7, 2017",True,976536041
Temple Run 2,Everyone,"Jan 23, 2013",True,837218010
PUBG MOBILE - Traverse,Teen,"Mar 19, 2018",True,505818718
Among Us,Everyone 10+,"Jun 15, 2018",True,405542120
Talking Tom Gold Run,Everyone,"Jul 13, 2016",True,398629098
Brawl Stars,Everyone 10+,"Dec 12, 2018",True,238450421
Talking Tom Hero Dash - Run Game,Everyone,"Jun 4, 2019",True,209377333
PUBG MOBILE LITE,Teen,,True,208975812
Super Mario Run,Everyone,"Mar 22, 2017",True,191882253
Modern Combat 5: eSports FPS,Mature 17+,"Jul 23, 2014",True,151979091
