App_Name,Content_Rating,Released,Free,Maximum_Installs
The Sims FreePlay,Teen,,True,189421569
Vegas Crime Simulator,Mature 17+,"Jun 3, 2015",True,172102967
Dragon City Mobile,Everyone,"Jul 3, 2013",True,165592452
Bike Stunt Race 3d Bike Racing Games – Bike game,Everyone,"Oct 15, 2017",True,124499897
Episode - Choose Your Story,Teen,"Feb 20, 2014",True,122869683
Woodturning,Everyone,"Jan 9, 2020",True,121407479
2 3 4 Player Mini Games,Everyone,"Feb 8, 2018",True,115689781
Truck Simulator 2018 : Europe,Everyone,"Apr 7, 2018",True,114238047
Farming Simulator 14,Everyone,"Nov 17, 2013",True,107348637
SimCity BuildIt,Everyone 10+,"Dec 15, 2014",True,106874506
