App_Name,Content_Rating,Released,Free,Maximum_Installs
Clash of Clans,Everyone 10+,"Sep 30, 2013",True,643789632
Clash Royale,Everyone 10+,"Mar 1, 2016",True,405849099
Lords Mobile: Tower Defense,Everyone 10+,"Mar 21, 2016",True,316586554
Last Empire - War Z: Strategy,Teen,"Sep 7, 2015",True,67335210
Megapolis: city building simulator. Urban strategy,Everyone,"Nov 30, 2012",True,66463458
Rise of Kingdoms: Lost Crusade,Everyone 10+,"May 24, 2018",True,49531884
Last Shelter: Survival,Teen,"Oct 13, 2017",True,38456930
The Walking Dead No Man's Land,Mature 17+,"Oct 9, 2015",True,17996961
War Dragons,Everyone,"Apr 12, 2016",True,14247988
Vainglory,Teen,"Jun 29, 2015",True,13964840
