App_Name,Content_Rating,Released,Free,Maximum_Installs
Google Chrome: Fast & Secure,Everyone,"Feb 7, 2012",True,8925640788
Gmail,Everyone,"Sep 21, 2010",True,8756574289
WhatsApp Messenger,Everyone,"Oct 18, 2010",True,6265637751
Messenger – Text and Video Chat for Free,Everyone,"Jan 30, 2014",True,5054312355
Hangouts,Everyone,"May 15, 2013",True,5019518222
Samsung Push Service,Everyone,"Mar 29, 2013",True,4186667750
Google Duo - High Quality Video Calls,Everyone,"Aug 16, 2016",True,4022259636
Samsung Internet Browser,Everyone,"Aug 24, 2015",True,2167405314
Messages,Everyone,"Nov 12, 2014",True,1931517750
Carrier Services,Everyone,"Mar 13, 2017",True,1793502218
