App_Name,Content_Rating,Released,Free,Maximum_Installs
Clash of Clans,Everyone 10+,"Sep 30, 2013",True,643789632
Clash Royale,Everyone 10+,"Mar 1, 2016",True,405849099
Plants vs. Zombies FREE,Everyone 10+,"Nov 13, 2014",True,377203720
Lords Mobile: Tower Defense,Everyone 10+,"Mar 21, 2016",True,316586554
Stick War: Legacy,Teen,"Jan 31, 2016",True,153877143
World of Tanks Blitz PVP MMO 3D tank game for free,Teen,"Dec 3, 2014",True,117760576
Castle Clash: Guild Royale,Everyone 10+,"Jul 25, 2013",True,116517465
Boom Beach,Everyone 10+,"Jun 18, 2014",True,97025721
Clash of Kings : Newly Presented Knight System,Teen,"Jun 30, 2014",True,94989734
Mafia City,Mature 17+,"Mar 30, 2017",True,92475200
