App_Name,Content_Rating,Released,Free,Maximum_Installs
Garena Free Fire - Rampage,Mature 17+,"Dec 7, 2017",True,976536041
Temple Run 2,Everyone,"Jan 23, 2013",True,837218010
Sniper 3D: Fun Free Online FPS Shooting Game,Mature 17+,"Nov 13, 2014",True,518325903
PUBG MOBILE - Traverse,Teen,"Mar 19, 2018",True,505818718
slither.io,Everyone,"Mar 25, 2016",True,487164438
Mobile Legends: Bang Bang,Teen,"Oct 31, 2016",True,416373512
Among Us,Everyone 10+,"Jun 15, 2018",True,405542120
Talking Tom Gold Run,Everyone,"Jul 13, 2016",True,398629098
Helix Jump,Everyone,"Mar 12, 2018",True,354227926
Kick the Buddy,Teen,"May 22, 2018",True,305907562
