App_Name,Content_Rating,Released,Free,Maximum_Installs
Google Maps - Navigate & Explore,Everyone,,True,9141671889
WhatsApp Messenger,Everyone,"Oct 18, 2010",True,6265637751
Messenger – Text and Video Chat for Free,Everyone,"Jan 30, 2014",True,5054312355
Instagram,Teen,"Apr 3, 2012",True,3559871277
Skype - free IM & video calls,Everyone,"Oct 4, 2010",True,1769991234
Subway Surfers,Everyone 10+,"Sep 20, 2012",True,1704495994
Snapchat,Teen,"Oct 29, 2012",True,1621265491
Netflix,Teen,"May 5, 2011",True,1437250170
Garena Free Fire - Rampage,Mature 17+,"Dec 7, 2017",True,976536041
Telegram,Mature 17+,"Sep 6, 2013",True,885977963
