App_Name,Content_Rating,Released,Free,Maximum_Installs
AliExpress,Teen,"Sep 27, 2012",True,499047189
"eBay: Buy, sell, and save on brands you love",Teen,"Feb 17, 2010",True,302087728
letgo: Buy & Sell Used Stuff,Teen,"Jan 26, 2015",True,102371918
OfferUp: Buy. Sell. Letgo. Mobile marketplace,Everyone,"Sep 25, 2013",True,57804724
Zoom - Comparar preços para Comprar Online,Teen,"Nov 10, 2014",True,30420973
"leboncoin, petites annonces",Everyone,,True,26443865
"Etsy: Buy Custom, Handmade, and Unique Goods",Teen,"Dec 4, 2012",True,26357866
ZALORA - Fashion Shopping,Everyone,"Jul 9, 2013",True,23795598
Flipp - Weekly Shopping,Everyone,"Feb 19, 2014",True,19671436
noon shopping,Everyone,"Oct 1, 2017",True,19420516
